consulta,categoria,respuesta,respuestas_compuestas,consulta_
¿Las instalaciones están adaptadas para personas con movilidad reducida?,instalaciones,"Sí, contamos con rampas, ascensores y baños adaptados en todos los edificios principales.","¿Las instalaciones están adaptadas para personas con movilidad reducida? Sí, contamos con rampas, ascensores y baños adaptados en todos los edificios principales.",¿Las instalaciones están adaptadas para personas con movilidad reducida? instalaciones
¿Dónde puedo cargar mis dispositivos móviles?,instalaciones,"Hay estaciones de carga en la biblioteca, cafetería y algunos pasillos centrales del campus.","¿Dónde puedo cargar mis dispositivos móviles? Hay estaciones de carga en la biblioteca, cafetería y algunos pasillos centrales del campus.",¿Dónde puedo cargar mis dispositivos móviles? instalaciones
¿Puedo utilizar la sala de audiovisuales fuera del horario de clases?,instalaciones,"Sí, con autorización previa del responsable de la sala y reserva anticipada por correo o formulario.","¿Puedo utilizar la sala de audiovisuales fuera del horario de clases? Sí, con autorización previa del responsable de la sala y reserva anticipada por correo o formulario.",¿Puedo utilizar la sala de audiovisuales fuera del horario de clases? instalaciones
¿Qué documento necesito para acreditar mi identidad al ingresar?,requisitos,"Debes presentar una identificación oficial vigente como cédula, pasaporte o licencia de conducción.","¿Qué documento necesito para acreditar mi identidad al ingresar? Debes presentar una identificación oficial vigente como cédula, pasaporte o licencia de conducción.",¿Qué documento necesito para acreditar mi identidad al ingresar? requisitos
¿Puedo presentar un certificado de notas como requisito de ingreso?,requisitos,"Sí, el certificado de notas del nivel anterior es un requisito indispensable para el proceso de admisión.","¿Puedo presentar un certificado de notas como requisito de ingreso? Sí, el certificado de notas del nivel anterior es un requisito indispensable para el proceso de admisión.",¿Puedo presentar un certificado de notas como requisito de ingreso? requisitos
¿Es obligatorio presentar una foto tamaño carnet para la inscripción?,requisitos,"Sí, debes entregar una foto reciente tamaño carnet como parte de los requisitos de matrícula.","¿Es obligatorio presentar una foto tamaño carnet para la inscripción? Sí, debes entregar una foto reciente tamaño carnet como parte de los requisitos de matrícula.",¿Es obligatorio presentar una foto tamaño carnet para la inscripción? requisitos
¿Se puede inscribir con el acta de grado provisional?,requisitos,"Sí, pero debes presentar el diploma oficial antes del segundo semestre para mantener tu estatus académico.","¿Se puede inscribir con el acta de grado provisional? Sí, pero debes presentar el diploma oficial antes del segundo semestre para mantener tu estatus académico.",¿Se puede inscribir con el acta de grado provisional? requisitos
¿Qué sucede si me falta un requisito para la inscripción?,requisitos,No podrás finalizar tu inscripción. Debes entregar todos los requisitos para completar el proceso.,¿Qué sucede si me falta un requisito para la inscripción? No podrás finalizar tu inscripción. Debes entregar todos los requisitos para completar el proceso.,¿Qué sucede si me falta un requisito para la inscripción? requisitos
¿Cómo consulto mis calificaciones del semestre?,calificaciones,"Puedes revisar tus calificaciones en el portal estudiantil, sección 'Historial académico'.","¿Cómo consulto mis calificaciones del semestre? Puedes revisar tus calificaciones en el portal estudiantil, sección 'Historial académico'.",¿Cómo consulto mis calificaciones del semestre? calificaciones
¿Qué hacer si una calificación no aparece en el sistema?,calificaciones,Debes comunicarte con el docente responsable y notificar a la coordinación académica para su revisión.,¿Qué hacer si una calificación no aparece en el sistema? Debes comunicarte con el docente responsable y notificar a la coordinación académica para su revisión.,¿Qué hacer si una calificación no aparece en el sistema? calificaciones
¿Cómo es el procedimiento para pedir revisión de una nota final?,calificaciones,Debes llenar un formulario oficial y entregarlo en coordinación académica dentro de los 5 días hábiles siguientes a la publicación de la nota.,¿Cómo es el procedimiento para pedir revisión de una nota final? Debes llenar un formulario oficial y entregarlo en coordinación académica dentro de los 5 días hábiles siguientes a la publicación de la nota.,¿Cómo es el procedimiento para pedir revisión de una nota final? calificaciones
¿Existe algún recurso académico para cuestionar una calificación?,calificaciones,"Sí, puedes presentar una apelación formal ante el comité académico con evidencia de tu solicitud.","¿Existe algún recurso académico para cuestionar una calificación? Sí, puedes presentar una apelación formal ante el comité académico con evidencia de tu solicitud.",¿Existe algún recurso académico para cuestionar una calificación? calificaciones
¿Cuál es el promedio mínimo para mantener una beca?,calificaciones,Debes mantener un promedio acumulado mínimo de 4.0 para conservar tu beca académica.,¿Cuál es el promedio mínimo para mantener una beca? Debes mantener un promedio acumulado mínimo de 4.0 para conservar tu beca académica.,¿Cuál es el promedio mínimo para mantener una beca? calificaciones
¿Qué certificado médico necesito para inscribirme en actividades deportivas?,requisitos,Debes presentar un certificado de aptitud física emitido por un profesional de la salud.,¿Qué certificado médico necesito para inscribirme en actividades deportivas? Debes presentar un certificado de aptitud física emitido por un profesional de la salud.,¿Qué certificado médico necesito para inscribirme en actividades deportivas? requisitos
¿Es necesario presentar el certificado de afiliación a salud para la inscripción?,requisitos,"Sí, es obligatorio contar con seguro médico vigente para completar tu inscripción.","¿Es necesario presentar el certificado de afiliación a salud para la inscripción? Sí, es obligatorio contar con seguro médico vigente para completar tu inscripción.",¿Es necesario presentar el certificado de afiliación a salud para la inscripción? requisitos
¿Se aceptan fotocopias de documentos como requisitos?,requisitos,Generalmente se requieren originales para verificación. Consulta si puedes presentar copias autenticadas.,¿Se aceptan fotocopias de documentos como requisitos? Generalmente se requieren originales para verificación. Consulta si puedes presentar copias autenticadas.,¿Se aceptan fotocopias de documentos como requisitos? requisitos
¿Cuántas fotos tamaño carnet debo entregar?,requisitos,"Debes entregar 4 fotos recientes tamaño carnet, en fondo blanco y sin accesorios.","¿Cuántas fotos tamaño carnet debo entregar? Debes entregar 4 fotos recientes tamaño carnet, en fondo blanco y sin accesorios.",¿Cuántas fotos tamaño carnet debo entregar? requisitos
¿Puedo inscribirme con pasaporte si soy extranjero?,requisitos,"Sí, el pasaporte vigente es un documento válido de identificación para estudiantes internacionales.","¿Puedo inscribirme con pasaporte si soy extranjero? Sí, el pasaporte vigente es un documento válido de identificación para estudiantes internacionales.",¿Puedo inscribirme con pasaporte si soy extranjero? requisitos
¿Cuándo se publican las calificaciones finales?,calificaciones,Se publican al finalizar el periodo de exámenes. Puedes consultarlas en el portal estudiantil.,¿Cuándo se publican las calificaciones finales? Se publican al finalizar el periodo de exámenes. Puedes consultarlas en el portal estudiantil.,¿Cuándo se publican las calificaciones finales? calificaciones
¿Cómo calcular mi promedio acumulado?,calificaciones,Suma el total de notas ponderadas y divídelo entre el número total de créditos cursados.,¿Cómo calcular mi promedio acumulado? Suma el total de notas ponderadas y divídelo entre el número total de créditos cursados.,¿Cómo calcular mi promedio acumulado? calificaciones
¿Qué nota se requiere para aprobar una materia teórica?,calificaciones,Debes obtener una calificación mínima de 3.0 sobre 5.0 para aprobar.,¿Qué nota se requiere para aprobar una materia teórica? Debes obtener una calificación mínima de 3.0 sobre 5.0 para aprobar.,¿Qué nota se requiere para aprobar una materia teórica? calificaciones
¿Qué significa tener una nota de 2.9 en una asignatura?,calificaciones,Significa que no alcanzaste el puntaje mínimo para aprobar. Deberás repetir o presentar recuperación si aplica.,¿Qué significa tener una nota de 2.9 en una asignatura? Significa que no alcanzaste el puntaje mínimo para aprobar. Deberás repetir o presentar recuperación si aplica.,¿Qué significa tener una nota de 2.9 en una asignatura? calificaciones
¿Cuál es el rango de calificación en el sistema universitario?,calificaciones,"Generalmente de 0.0 a 5.0, siendo 3.0 la nota mínima aprobatoria. Consulta el reglamento académico para tu institución.","¿Cuál es el rango de calificación en el sistema universitario? Generalmente de 0.0 a 5.0, siendo 3.0 la nota mínima aprobatoria. Consulta el reglamento académico para tu institución.",¿Cuál es el rango de calificación en el sistema universitario? calificaciones
¿Cómo puedo tramitar mi carné universitario por primera vez?,tramites,Debes solicitarlo en servicios escolares presentando tu comprobante de inscripción y una fotografía reciente.,¿Cómo puedo tramitar mi carné universitario por primera vez? Debes solicitarlo en servicios escolares presentando tu comprobante de inscripción y una fotografía reciente.,¿Cómo puedo tramitar mi carné universitario por primera vez? tramites
¿Qué requisitos hay para pedir constancia de estudios para visa?,tramites,"Debes presentar tu pasaporte, comprobante de inscripción y carta de solicitud firmada.","¿Qué requisitos hay para pedir constancia de estudios para visa? Debes presentar tu pasaporte, comprobante de inscripción y carta de solicitud firmada.",¿Qué requisitos hay para pedir constancia de estudios para visa? tramites
¿Puedo gestionar mis trámites académicos en línea?,tramites,"Sí, muchos trámites como constancias y certificados pueden gestionarse desde el portal estudiantil.","¿Puedo gestionar mis trámites académicos en línea? Sí, muchos trámites como constancias y certificados pueden gestionarse desde el portal estudiantil.",¿Puedo gestionar mis trámites académicos en línea? tramites
¿Qué hacer si no aparece mi certificado de notas en el sistema?,tramites,Contacta al área de servicios escolares y verifica si hay un retraso o falta algún documento.,¿Qué hacer si no aparece mi certificado de notas en el sistema? Contacta al área de servicios escolares y verifica si hay un retraso o falta algún documento.,¿Qué hacer si no aparece mi certificado de notas en el sistema? tramites
¿Dónde actualizo mis datos personales institucionales?,tramites,Debes ingresar al portal estudiantil o acudir personalmente a servicios escolares con tu documento de identidad.,¿Dónde actualizo mis datos personales institucionales? Debes ingresar al portal estudiantil o acudir personalmente a servicios escolares con tu documento de identidad.,¿Dónde actualizo mis datos personales institucionales? tramites
¿Cómo se realiza el trámite administrativo para solicitar una doble titulación?,tramites,"Debes presentar carta de motivos, historial académico, y obtener autorización de ambos programas académicos.","¿Cómo se realiza el trámite administrativo para solicitar una doble titulación? Debes presentar carta de motivos, historial académico, y obtener autorización de ambos programas académicos.",¿Cómo se realiza el trámite administrativo para solicitar una doble titulación? tramites
¿Cuánto tarda el proceso de certificación de notas?,tramites,El trámite puede tardar entre 3 a 5 días hábiles. Verifica con servicios escolares el estado de tu solicitud.,¿Cuánto tarda el proceso de certificación de notas? El trámite puede tardar entre 3 a 5 días hábiles. Verifica con servicios escolares el estado de tu solicitud.,¿Cuánto tarda el proceso de certificación de notas? tramites
¿Puedo autorizar a un familiar para realizar trámites académicos?,tramites,"Sí, mediante una carta poder firmada, copia de tu documento y el de la persona autorizada.","¿Puedo autorizar a un familiar para realizar trámites académicos? Sí, mediante una carta poder firmada, copia de tu documento y el de la persona autorizada.",¿Puedo autorizar a un familiar para realizar trámites académicos? tramites
¿Dónde solicito mi historial académico completo?,tramites,Puedes solicitarlo en servicios escolares o descargarlo desde el portal institucional con tu usuario.,¿Dónde solicito mi historial académico completo? Puedes solicitarlo en servicios escolares o descargarlo desde el portal institucional con tu usuario.,¿Dónde solicito mi historial académico completo? tramites
¿Qué hacer si mi constancia de egreso tiene un error?,tramites,Solicita la corrección en servicios escolares llevando el documento con error y tu identificación.,¿Qué hacer si mi constancia de egreso tiene un error? Solicita la corrección en servicios escolares llevando el documento con error y tu identificación.,¿Qué hacer si mi constancia de egreso tiene un error? tramites
¿Es posible digitalizar mis certificados anteriores?,tramites,"Sí, puedes solicitar copias digitales de tus certificados antiguos presentando tu número de matrícula.","¿Es posible digitalizar mis certificados anteriores? Sí, puedes solicitar copias digitales de tus certificados antiguos presentando tu número de matrícula.",¿Es posible digitalizar mis certificados anteriores? tramites
¿Puedo tramitar documentos en vacaciones?,tramites,Algunos trámites pueden realizarse en línea durante vacaciones. Verifica los horarios especiales de atención.,¿Puedo tramitar documentos en vacaciones? Algunos trámites pueden realizarse en línea durante vacaciones. Verifica los horarios especiales de atención.,¿Puedo tramitar documentos en vacaciones? tramites
¿Qué es una certificación académica legalizada?,tramites,Es un documento oficial validado para uso internacional mediante firma y sello de la secretaría académica.,¿Qué es una certificación académica legalizada? Es un documento oficial validado para uso internacional mediante firma y sello de la secretaría académica.,¿Qué es una certificación académica legalizada? tramites
¿Cómo gestiono una baja definitiva del programa?,tramites,"Debes solicitarla mediante formato oficial, entrevista con coordinación y entrega de tus documentos académicos.","¿Cómo gestiono una baja definitiva del programa? Debes solicitarla mediante formato oficial, entrevista con coordinación y entrega de tus documentos académicos.",¿Cómo gestiono una baja definitiva del programa? tramites
¿Dónde consulto el estado de mis trámites académicos?,tramites,"En el portal estudiantil, sección 'Estado de trámites', o directamente en ventanilla de servicios escolares.","¿Dónde consulto el estado de mis trámites académicos? En el portal estudiantil, sección 'Estado de trámites', o directamente en ventanilla de servicios escolares.",¿Dónde consulto el estado de mis trámites académicos? tramites
¿Dónde puedo estudiar en silencio dentro del campus?,instalaciones,Puedes usar las salas silenciosas de la biblioteca o las aulas de estudio del edificio H.,¿Dónde puedo estudiar en silencio dentro del campus? Puedes usar las salas silenciosas de la biblioteca o las aulas de estudio del edificio H.,¿Dónde puedo estudiar en silencio dentro del campus? instalaciones
¿Las aulas tienen acceso a energía para laptops?,instalaciones,"Sí, la mayoría cuenta con tomas eléctricas distribuidas en las mesas o paredes laterales.","¿Las aulas tienen acceso a energía para laptops? Sí, la mayoría cuenta con tomas eléctricas distribuidas en las mesas o paredes laterales.",¿Las aulas tienen acceso a energía para laptops? instalaciones
¿Qué áreas comunes están disponibles para descanso?,instalaciones,"Zonas verdes, terrazas cubiertas y salones multiusos están disponibles para esparcimiento estudiantil.","¿Qué áreas comunes están disponibles para descanso? Zonas verdes, terrazas cubiertas y salones multiusos están disponibles para esparcimiento estudiantil.",¿Qué áreas comunes están disponibles para descanso? instalaciones
¿Puedo solicitar mantenimiento en mi salón de clases?,instalaciones,"Sí, debes reportarlo en el portal institucional o directamente al encargado de edificio.","¿Puedo solicitar mantenimiento en mi salón de clases? Sí, debes reportarlo en el portal institucional o directamente al encargado de edificio.",¿Puedo solicitar mantenimiento en mi salón de clases? instalaciones
¿Cómo accedo a las instalaciones deportivas?,instalaciones,Con tu credencial institucional puedes ingresar en los horarios autorizados para estudiantes.,¿Cómo accedo a las instalaciones deportivas? Con tu credencial institucional puedes ingresar en los horarios autorizados para estudiantes.,¿Cómo accedo a las instalaciones deportivas? instalaciones
¿Hay salas de informática para uso libre?,instalaciones,"Sí, algunas salas están disponibles fuera del horario de clases previa reserva.","¿Hay salas de informática para uso libre? Sí, algunas salas están disponibles fuera del horario de clases previa reserva.",¿Hay salas de informática para uso libre? instalaciones
¿Dónde encuentro dispensadores de agua en el campus?,instalaciones,"Hay dispensadores en cada bloque, normalmente ubicados en pasillos centrales o áreas comunes.","¿Dónde encuentro dispensadores de agua en el campus? Hay dispensadores en cada bloque, normalmente ubicados en pasillos centrales o áreas comunes.",¿Dónde encuentro dispensadores de agua en el campus? instalaciones
¿Las aulas están climatizadas?,instalaciones,"Algunas aulas cuentan con ventilación natural, otras con aire acondicionado según la zona y condiciones climáticas.","¿Las aulas están climatizadas? Algunas aulas cuentan con ventilación natural, otras con aire acondicionado según la zona y condiciones climáticas.",¿Las aulas están climatizadas? instalaciones
¿Qué espacios están adaptados para estudiantes con discapacidad?,instalaciones,"Contamos con baños, rampas, señalética en braille y ascensores en todos los bloques académicos.","¿Qué espacios están adaptados para estudiantes con discapacidad? Contamos con baños, rampas, señalética en braille y ascensores en todos los bloques académicos.",¿Qué espacios están adaptados para estudiantes con discapacidad? instalaciones
¿Puedo usar el auditorio para un evento estudiantil?,instalaciones,"Sí, solicita la reserva con anticipación en coordinación de bienestar o en el portal institucional.","¿Puedo usar el auditorio para un evento estudiantil? Sí, solicita la reserva con anticipación en coordinación de bienestar o en el portal institucional.",¿Puedo usar el auditorio para un evento estudiantil? instalaciones
¿Qué hacer si un proyector del aula no funciona?,instalaciones,Debes reportarlo al área de soporte técnico o solicitar equipo alterno en la sala audiovisual.,¿Qué hacer si un proyector del aula no funciona? Debes reportarlo al área de soporte técnico o solicitar equipo alterno en la sala audiovisual.,¿Qué hacer si un proyector del aula no funciona? instalaciones
¿Las cafeterías están abiertas en la noche?,instalaciones,"Sí, hay turnos hasta las 9:00 PM en algunos puntos del campus. Consulta horarios en la app institucional.","¿Las cafeterías están abiertas en la noche? Sí, hay turnos hasta las 9:00 PM en algunos puntos del campus. Consulta horarios en la app institucional.",¿Las cafeterías están abiertas en la noche? instalaciones
¿Dónde encuentro los planos del campus?,instalaciones,Están disponibles en la entrada de cada bloque y en versión digital en el portal estudiantil.,¿Dónde encuentro los planos del campus? Están disponibles en la entrada de cada bloque y en versión digital en el portal estudiantil.,¿Dónde encuentro los planos del campus? instalaciones
¿Qué servicios ofrece la oficina de bienestar universitario?,instalaciones,"Ofrece asesoría psicológica, actividades culturales, recreación y orientación académica.","¿Qué servicios ofrece la oficina de bienestar universitario? Ofrece asesoría psicológica, actividades culturales, recreación y orientación académica.",¿Qué servicios ofrece la oficina de bienestar universitario? instalaciones
¿Puedo organizar una exposición en la zona cultural?,instalaciones,"Sí, puedes presentar tu propuesta en la oficina de cultura institucional para autorización.","¿Puedo organizar una exposición en la zona cultural? Sí, puedes presentar tu propuesta en la oficina de cultura institucional para autorización.",¿Puedo organizar una exposición en la zona cultural? instalaciones
¿Debo legalizar mis documentos si estudié en el extranjero?,requisitos,"Sí, necesitas legalizar o apostillar tus documentos según el país de origen antes de la inscripción.","¿Debo legalizar mis documentos si estudié en el extranjero? Sí, necesitas legalizar o apostillar tus documentos según el país de origen antes de la inscripción.",¿Debo legalizar mis documentos si estudié en el extranjero? requisitos
¿Qué vigencia deben tener los documentos presentados para matrícula?,requisitos,"Deben tener una vigencia no mayor a 6 meses desde su emisión, excepto certificados permanentes como el acta de grado.","¿Qué vigencia deben tener los documentos presentados para matrícula? Deben tener una vigencia no mayor a 6 meses desde su emisión, excepto certificados permanentes como el acta de grado.",¿Qué vigencia deben tener los documentos presentados para matrícula? requisitos
¿Es obligatorio presentar el certificado de vacunas?,requisitos,Solo si es requerido por el programa o situación sanitaria vigente. Consulta con servicios escolares.,¿Es obligatorio presentar el certificado de vacunas? Solo si es requerido por el programa o situación sanitaria vigente. Consulta con servicios escolares.,¿Es obligatorio presentar el certificado de vacunas? requisitos
¿Puedo presentar una constancia laboral como requisito académico?,requisitos,"No, los requisitos académicos exigen certificados oficiales del nivel educativo anterior.","¿Puedo presentar una constancia laboral como requisito académico? No, los requisitos académicos exigen certificados oficiales del nivel educativo anterior.",¿Puedo presentar una constancia laboral como requisito académico? requisitos
¿Qué pasa si mis documentos están en otro idioma?,requisitos,Deben ser traducidos oficialmente al español y presentarse junto al original.,¿Qué pasa si mis documentos están en otro idioma? Deben ser traducidos oficialmente al español y presentarse junto al original.,¿Qué pasa si mis documentos están en otro idioma? requisitos
¿Qué nota necesito para graduarme con honores?,calificaciones,Debes tener un promedio acumulado superior a 4.5 y no haber reprobado ninguna materia.,¿Qué nota necesito para graduarme con honores? Debes tener un promedio acumulado superior a 4.5 y no haber reprobado ninguna materia.,¿Qué nota necesito para graduarme con honores? calificaciones
¿Las prácticas califican como parte de una asignatura?,calificaciones,"Sí, en muchos casos representan un porcentaje de la nota final. Consulta el plan de la asignatura.","¿Las prácticas califican como parte de una asignatura? Sí, en muchos casos representan un porcentaje de la nota final. Consulta el plan de la asignatura.",¿Las prácticas califican como parte de una asignatura? calificaciones
¿Qué es una calificación ponderada?,calificaciones,Es una nota ajustada según el número de créditos o el peso específico de una actividad dentro del curso.,¿Qué es una calificación ponderada? Es una nota ajustada según el número de créditos o el peso específico de una actividad dentro del curso.,¿Qué es una calificación ponderada? calificaciones
¿Qué hacer si hay un error en mi promedio general?,calificaciones,Debes reportarlo a servicios escolares para revisión y corrección del historial académico.,¿Qué hacer si hay un error en mi promedio general? Debes reportarlo a servicios escolares para revisión y corrección del historial académico.,¿Qué hacer si hay un error en mi promedio general? calificaciones
¿Cómo saber si aprobé una materia electiva?,calificaciones,"Debes consultar tu historial académico. Si obtuviste 3.0 o más, la asignatura fue aprobada.","¿Cómo saber si aprobé una materia electiva? Debes consultar tu historial académico. Si obtuviste 3.0 o más, la asignatura fue aprobada.",¿Cómo saber si aprobé una materia electiva? calificaciones
¿Debo entregar una carta de aceptación para inscribirme?,requisitos,"Sí, si eres admitido por convenio o programa especial, la carta de aceptación es obligatoria.","¿Debo entregar una carta de aceptación para inscribirme? Sí, si eres admitido por convenio o programa especial, la carta de aceptación es obligatoria.",¿Debo entregar una carta de aceptación para inscribirme? requisitos
¿Qué tipo de identificación se acepta para la matrícula?,requisitos,"Se acepta cédula de ciudadanía, tarjeta de identidad, pasaporte o documento nacional de identidad vigente.","¿Qué tipo de identificación se acepta para la matrícula? Se acepta cédula de ciudadanía, tarjeta de identidad, pasaporte o documento nacional de identidad vigente.",¿Qué tipo de identificación se acepta para la matrícula? requisitos
¿Se puede usar una constancia de estudios anterior como requisito?,requisitos,"No, debes presentar certificados oficiales del último nivel aprobado, actualizados y validados.","¿Se puede usar una constancia de estudios anterior como requisito? No, debes presentar certificados oficiales del último nivel aprobado, actualizados y validados.",¿Se puede usar una constancia de estudios anterior como requisito? requisitos
¿Qué hacer si perdí mi diploma de bachiller?,requisitos,Debes solicitar un duplicado en la institución de origen y presentar el comprobante oficial temporal mientras llega el original.,¿Qué hacer si perdí mi diploma de bachiller? Debes solicitar un duplicado en la institución de origen y presentar el comprobante oficial temporal mientras llega el original.,¿Qué hacer si perdí mi diploma de bachiller? requisitos
¿Es obligatorio presentar el recibo de pago para validar la matrícula?,requisitos,"Sí, el comprobante de pago es esencial para confirmar tu inscripción ante la institución.","¿Es obligatorio presentar el recibo de pago para validar la matrícula? Sí, el comprobante de pago es esencial para confirmar tu inscripción ante la institución.",¿Es obligatorio presentar el recibo de pago para validar la matrícula? requisitos
¿Cuándo puedo consultar las calificaciones de exámenes finales?,calificaciones,Puedes revisarlas en el portal estudiantil una semana después del cierre del semestre académico.,¿Cuándo puedo consultar las calificaciones de exámenes finales? Puedes revisarlas en el portal estudiantil una semana después del cierre del semestre académico.,¿Cuándo puedo consultar las calificaciones de exámenes finales? calificaciones
¿Qué sucede si no alcanzo el mínimo en una evaluación continua?,calificaciones,Deberás compensar con otras actividades o evaluación final según el plan de asignatura.,¿Qué sucede si no alcanzo el mínimo en una evaluación continua? Deberás compensar con otras actividades o evaluación final según el plan de asignatura.,¿Qué sucede si no alcanzo el mínimo en una evaluación continua? calificaciones
¿Cuánto porcentaje representa el examen final en la nota?,calificaciones,"En la mayoría de materias, el examen final representa entre el 30% y el 40% del total.","¿Cuánto porcentaje representa el examen final en la nota? En la mayoría de materias, el examen final representa entre el 30% y el 40% del total.",¿Cuánto porcentaje representa el examen final en la nota? calificaciones
¿Qué significa tener una nota definitiva de 3.0?,calificaciones,Significa que aprobaste la asignatura con la calificación mínima permitida en el sistema académico.,¿Qué significa tener una nota definitiva de 3.0? Significa que aprobaste la asignatura con la calificación mínima permitida en el sistema académico.,¿Qué significa tener una nota definitiva de 3.0? calificaciones
¿Puedo recuperar una materia reprobada en el mismo semestre?,calificaciones,Depende del reglamento de tu programa. Algunas instituciones permiten recuperación extraordinaria previa autorización.,¿Puedo recuperar una materia reprobada en el mismo semestre? Depende del reglamento de tu programa. Algunas instituciones permiten recuperación extraordinaria previa autorización.,¿Puedo recuperar una materia reprobada en el mismo semestre? calificaciones
¿Qué hacer si el acta de grado tiene un error tipográfico?,requisitos,Debes solicitar la corrección en la institución donde fue emitida y presentar la versión rectificada.,¿Qué hacer si el acta de grado tiene un error tipográfico? Debes solicitar la corrección en la institución donde fue emitida y presentar la versión rectificada.,¿Qué hacer si el acta de grado tiene un error tipográfico? requisitos
¿Se puede presentar el certificado de notas en formato digital?,requisitos,"Sí, siempre que esté firmado electrónicamente por la institución emisora o tenga código de verificación.","¿Se puede presentar el certificado de notas en formato digital? Sí, siempre que esté firmado electrónicamente por la institución emisora o tenga código de verificación.",¿Se puede presentar el certificado de notas en formato digital? requisitos
¿Cuántas veces puedo presentar documentos incompletos?,requisitos,Solo puedes hacerlo una vez con justificación. La inscripción queda condicionada hasta completar los requisitos.,¿Cuántas veces puedo presentar documentos incompletos? Solo puedes hacerlo una vez con justificación. La inscripción queda condicionada hasta completar los requisitos.,¿Cuántas veces puedo presentar documentos incompletos? requisitos
¿Qué instituciones aceptan constancias en lugar de diplomas?,requisitos,Algunas aceptan constancia de terminación si el diploma aún no ha sido emitido. Verifica directamente con la institución.,¿Qué instituciones aceptan constancias en lugar de diplomas? Algunas aceptan constancia de terminación si el diploma aún no ha sido emitido. Verifica directamente con la institución.,¿Qué instituciones aceptan constancias en lugar de diplomas? requisitos
¿Qué documentos debo presentar si cambié legalmente mi nombre?,requisitos,Debes adjuntar la resolución oficial del cambio de nombre junto con tus documentos anteriores.,¿Qué documentos debo presentar si cambié legalmente mi nombre? Debes adjuntar la resolución oficial del cambio de nombre junto con tus documentos anteriores.,¿Qué documentos debo presentar si cambié legalmente mi nombre? requisitos
¿Qué es una nota de suficiencia?,calificaciones,Es una calificación que acredita dominio del contenido sin necesidad de cursar la materia formalmente.,¿Qué es una nota de suficiencia? Es una calificación que acredita dominio del contenido sin necesidad de cursar la materia formalmente.,¿Qué es una nota de suficiencia? calificaciones
¿Cómo afecta un retiro de asignatura a mi promedio?,calificaciones,No afecta el promedio si fue retirado oficialmente antes de la fecha límite establecida.,¿Cómo afecta un retiro de asignatura a mi promedio? No afecta el promedio si fue retirado oficialmente antes de la fecha límite establecida.,¿Cómo afecta un retiro de asignatura a mi promedio? calificaciones
¿Puedo apelar una nota si no estoy conforme con la evaluación?,calificaciones,"Sí, puedes solicitar una revisión formal con argumentos y evidencia dentro del periodo estipulado.","¿Puedo apelar una nota si no estoy conforme con la evaluación? Sí, puedes solicitar una revisión formal con argumentos y evidencia dentro del periodo estipulado.",¿Puedo apelar una nota si no estoy conforme con la evaluación? calificaciones
¿Qué sucede si repruebo una asignatura obligatoria?,calificaciones,Deberás cursarla nuevamente el siguiente periodo. Es requisito para avanzar en tu plan de estudios.,¿Qué sucede si repruebo una asignatura obligatoria? Deberás cursarla nuevamente el siguiente periodo. Es requisito para avanzar en tu plan de estudios.,¿Qué sucede si repruebo una asignatura obligatoria? calificaciones
¿Qué servicios tecnológicos ofrece la universidad a los estudiantes?,instalaciones,"La universidad ofrece acceso a Wi-Fi en todo el campus, salas de cómputo, plataformas virtuales, correo institucional y licencias educativas de software especializado.","¿Qué servicios tecnológicos ofrece la universidad a los estudiantes? La universidad ofrece acceso a Wi-Fi en todo el campus, salas de cómputo, plataformas virtuales, correo institucional y licencias educativas de software especializado.",¿Qué servicios tecnológicos ofrece la universidad a los estudiantes? instalaciones
¿Necesito presentar una carta de buena conducta para inscribirme?,requisitos,"No es obligatoria para todos los programas, pero algunas carreras pueden requerirla como parte del proceso de ingreso.","¿Necesito presentar una carta de buena conducta para inscribirme? No es obligatoria para todos los programas, pero algunas carreras pueden requerirla como parte del proceso de ingreso.",¿Necesito presentar una carta de buena conducta para inscribirme? requisitos
¿Es obligatorio adjuntar copia de la cédula en los documentos de inscripción?,requisitos,"Sí, se requiere una copia legible de tu documento de identidad como parte de los requisitos básicos de inscripción.","¿Es obligatorio adjuntar copia de la cédula en los documentos de inscripción? Sí, se requiere una copia legible de tu documento de identidad como parte de los requisitos básicos de inscripción.",¿Es obligatorio adjuntar copia de la cédula en los documentos de inscripción? requisitos
¿Qué pasa si presento documentos vencidos para la matrícula?,requisitos,Los documentos vencidos no son válidos y deberás presentar versiones actualizadas antes de que finalice el proceso de matrícula.,¿Qué pasa si presento documentos vencidos para la matrícula? Los documentos vencidos no son válidos y deberás presentar versiones actualizadas antes de que finalice el proceso de matrícula.,¿Qué pasa si presento documentos vencidos para la matrícula? requisitos
¿La constancia de notas sirve como comprobante de estudios previos?,requisitos,"Puede ser válida si está firmada y sellada por la institución anterior, pero normalmente se solicita el diploma o certificado oficial.","¿La constancia de notas sirve como comprobante de estudios previos? Puede ser válida si está firmada y sellada por la institución anterior, pero normalmente se solicita el diploma o certificado oficial.",¿La constancia de notas sirve como comprobante de estudios previos? requisitos
¿Es válido un certificado escaneado para completar los requisitos?,requisitos,"Sí, si cuenta con firma digital verificable o es enviado directamente por la institución emisora al correo oficial.","¿Es válido un certificado escaneado para completar los requisitos? Sí, si cuenta con firma digital verificable o es enviado directamente por la institución emisora al correo oficial.",¿Es válido un certificado escaneado para completar los requisitos? requisitos
